,sex,year,suicides_no
0,female,1979,87.55357142857143
1,female,1980,106.12437810945273
2,female,1981,95.4417670682731
3,female,1982,101.88247863247864
4,female,1983,73.46624472573839
5,female,1984,82.88333333333334
6,female,1985,93.36481481481482
7,female,1986,95.40185185185184
8,female,1987,89.09751773049645
9,female,1988,91.89015151515152
10,female,1989,90.52083333333333
11,female,1990,94.65957446808511
12,female,1991,94.04945054945055
13,female,1992,100.12359550561797
14,female,1993,100.55492424242425
15,female,1994,95.92293906810036
16,female,1995,95.89409722222223
17,female,1996,96.37847222222223
18,female,1997,92.68350168350169
19,female,1998,94.34833333333333
20,female,1999,92.55177993527508
21,female,2000,83.69494047619048
22,female,2001,77.12393162393163
23,female,2002,79.92514124293785
24,female,2003,81.41666666666667
25,female,2004,78.76376811594203
26,female,2005,76.98985507246377
27,female,2006,78.19469026548673
28,female,2007,82.25757575757575
29,female,2008,78.34330484330485
30,female,2009,76.98209366391184
31,female,2010,78.53133903133903
32,female,2011,80.38840579710146
33,female,2012,81.13213213213213
34,female,2013,80.64090909090909
35,female,2014,84.98397435897436
36,female,2015,101.09583333333333
37,female,2016,24.72
38,male,1979,188.60714285714286
39,male,1980,275.8358208955224
40,male,1981,262.0160642570281
41,male,1982,288.9145299145299
42,male,1983,184.82489451476792
43,male,1984,213.37142857142857
44,male,1985,272.43703703703704
45,male,1986,255.01481481481483
46,male,1987,241.33510638297872
47,male,1988,251.70075757575756
48,male,1989,261.8333333333333
49,male,1990,269.7145390070922
50,male,1991,280.96153846153845
51,male,1992,310.1760299625468
52,male,1993,333.61742424242425
53,male,1994,335.3100358422939
54,male,1995,331.0416666666667
55,male,1996,338.26215277777777
56,male,1997,318.63299663299665
57,male,1998,327.78333333333336
58,male,1999,328.1343042071197
59,male,2000,303.0684523809524
60,male,2001,286.22507122507125
61,male,2002,287.8728813559322
62,male,2003,292.76293103448273
63,male,2004,276.6695652173913
64,male,2005,268.8391304347826
65,male,2006,271.65781710914456
66,male,2007,277.1530303030303
67,male,2008,262.63675213675214
68,male,2009,263.6845730027548
69,male,2010,266.5441595441595
70,male,2011,267.39710144927534
71,male,2012,270.34684684684686
72,male,2013,266.96666666666664
73,male,2014,280.0689102564103
74,male,2015,332.04583333333335
75,male,2016,85.16666666666667
