Country,Count
Albania,1970.0
Anguilla,2.0
Antigua and Barbuda,11.0
Argentina,93862.0
Armenia,2422.0
Aruba,120.0
Australia,80279.0
Austria,60179.0
Azerbaijan,3366.0
Bahamas,107.0
Bahrain,463.0
Barbados,205.0
Belarus,74974.0
Belgium,75948.0
Belize,352.0
Bermuda,91.0
Bolivia,54.0
Bosnia and Herzegovina,3591.0
Brazil,250824.0
British Virgin Islands,8.0
Brunei Darussalam,123.0
Bulgaria,42868.0
Cabo Verde,42.0
Canada,128382.0
Cayman Islands,19.0
Chile,44126.0
Colombia,54136.0
Costa Rica,7346.0
Croatia,29400.0
Cuba,41418.0
Cyprus,412.0
Czech Republic,51664.0
Denmark,15297.0
Dominica,54.0
Dominican Republic,5312.0
Ecuador,22595.0
Egypt,1206.0
El Salvador,13865.0
Estonia,12671.0
Falkland Islands (Malvinas),1.0
Fiji,304.0
Finland,33677.0
France,395500.0
French Guiana,264.0
Georgia,4971.0
Germany,291262.0
Greece,14385.0
Grenada,38.0
Guadeloupe,583.0
Guatemala,8403.0
Guyana,3438.0
Haiti,28.0
Honduras,1072.0
Hong Kong SAR,29691.0
Hungary,130018.0
Iceland,1230.0
Iran (Islamic Rep of),7299.0
Iraq,3.0
Ireland,13960.0
Israel,12663.0
Italy,157074.0
Jamaica,198.0
Japan,937614.0
Jordan,87.0
Kazakhstan,123151.0
Kiribati,53.0
Kuwait,1013.0
Kyrgyzstan,16436.0
Latvia,24861.0
Lithuania,42166.0
Luxembourg,2367.0
Macau,27.0
Malaysia,939.0
Maldives,20.0
Malta,587.0
Martinique,538.0
Mauritius,4062.0
Mayotte,6.0
Mexico,117479.0
Monaco,17.0
Mongolia,450.0
Montenegro,472.0
Montserrat,1.0
Morocco,664.0
Netherlands,60205.0
Netherlands Antilles,107.0
New Zealand,16447.0
Nicaragua,7613.0
Norway,16992.0
Occupied Palestinian Territory,58.0
Oman,33.0
Panama,3691.0
Paraguay,5082.0
Peru,7711.0
Philippines,21330.0
Poland,172562.0
Portugal,28413.0
Puerto Rico,10838.0
Qatar,576.0
Republic of Korea,261730.0
Republic of Moldova,22447.0
Reunion,1266.0
Rodrigues,43.0
Romania,72793.0
Russia,1500992.0
Saint Kitts and Nevis,25.0
Saint Lucia,244.0
Saint Pierre and Miquelon,5.0
Saint Vincent and Grenadines,124.0
San Marino,26.0
Sao Tome and Principe,4.0
Saudi Arabia,135.0
Serbia,24179.0
Seychelles,98.0
Singapore,11510.0
Slovakia,13437.0
Slovenia,16805.0
South Africa,7321.0
Spain,110097.0
Sri Lanka,80747.0
Suriname,2492.0
Sweden,37800.0
Switzerland,26217.0
Syrian Arab Republic,417.0
TFYR Macedonia,3477.0
Tajikistan,4773.0
Thailand,129899.0
Trinidad and Tobago,4447.0
Tunisia,32.0
Turkey,10131.0
Turkmenistan,9644.0
Turks and Caicos Islands,6.0
Ukraine,365170.0
United Arab Emirates,622.0
United Kingdom,166314.0
United States of America,1201401.0
Uruguay,14647.0
Uzbekistan,44063.0
Venezuela (Bolivarian Republic of),29504.0
Virgin Islands (USA),113.0
Zimbabwe,764.0
